date,sentiment_mean,sentiment_positive_ratio,sentiment_negative_ratio,news_count,relevance_weight_sum,sentiment_available,sentiment_source,n_alpha,n_guardian,gdelt_tone
2015-03-10,-0.3023678397628724,0.0,0.4847019091229429,6,2.693096662312746,1.0,FINBERT_ALPHA_GUARDIAN,0.0,6.0,
2015-03-11,-0.3139638521927813,0.0,0.3896266109543044,7,4.2082539975643165,1.0,FINBERT_ALPHA_GUARDIAN,0.0,7.0,
2015-03-12,0.0,0.0,0.0,5,2.9220148503780368,1.0,FINBERT_ALPHA_GUARDIAN,0.0,5.0,
2015-03-13,0.0,0.0,0.0,4,2.072633218765259,1.0,FINBERT_ALPHA_GUARDIAN,0.0,4.0,
2015-03-14,0.0,0.0,0.0,1,0.6089369177818299,1.0,FINBERT_ALPHA_GUARDIAN,0.0,1.0,
2015-03-15,-0.0091864102451219,0.4955032702900154,0.5044967297099846,2,1.4291092425584793,1.0,FINBERT_ALPHA_GUARDIAN,0.0,2.0,
2015-03-16,0.3586651331000563,0.4720818973177158,0.0,4,2.413297748565674,1.0,FINBERT_ALPHA_GUARDIAN,0.0,4.0,
2015-03-17,-0.2737393358330623,0.0,0.3944920144025869,5,2.972572135925293,1.0,FINBERT_ALPHA_GUARDIAN,0.0,5.0,
2015-03-18,-0.3526882545201755,0.0,0.4604978586975615,5,2.632609186321497,1.0,FINBERT_ALPHA_GUARDIAN,0.0,5.0,
2015-03-19,-0.3483085113336228,0.0,0.3624097117578936,3,1.9889583826065065,1.0,FINBERT_ALPHA_GUARDIAN,0.0,3.0,
2015-03-20,0.2225357095200867,0.4343276454138304,0.1566498088221013,7,4.130721643567085,1.0,FINBERT_ALPHA_GUARDIAN,0.0,7.0,
2015-03-21,0.0,0.0,0.0,1,0.5759608209133149,1.0,FINBERT_ALPHA_GUARDIAN,0.0,1.0,
2015-03-22,0.0,0.0,0.0,2,1.0782358765602114,1.0,FINBERT_ALPHA_GUARDIAN,0.0,2.0,
2015-03-23,-0.336441450324421,0.0,0.5395754788452455,2,0.8666951179504394,1.0,FINBERT_ALPHA_GUARDIAN,0.0,2.0,
2015-03-24,-0.2700193433968419,0.1972733696027702,0.4774130958676718,9,5.336895056813956,1.0,FINBERT_ALPHA_GUARDIAN,0.0,9.0,
2015-03-25,-0.4788903862533403,0.0,0.5475028840595234,6,3.612998463213444,1.0,FINBERT_ALPHA_GUARDIAN,0.0,6.0,
2015-03-26,-0.3072006252441721,0.0,0.368494703875363,9,5.057496589422225,1.0,FINBERT_ALPHA_GUARDIAN,0.0,9.0,
2015-03-27,-0.2706464373797895,0.0,0.2838451072330625,4,2.519421046972275,1.0,FINBERT_ALPHA_GUARDIAN,0.0,4.0,
2015-03-30,-0.3476521930558293,0.1273417513252641,0.5352722654302262,10,5.986451541632414,1.0,FINBERT_ALPHA_GUARDIAN,0.0,10.0,
2015-03-31,-0.4528740048530122,0.0,0.4901252931624871,4,2.7320749402046207,1.0,FINBERT_ALPHA_GUARDIAN,0.0,4.0,
